,pos,neg,neu,comp,tag
0,0.18,0.11,0.71,0.9269,2001
1,0.413,0.148,0.439,0.9924,2001
2,0.336,0.124,0.54,0.9977,2001
3,0.228,0.011,0.761,0.9921,2001
4,0.25,0.229,0.521,0.7184,2001
5,0.042,0.23,0.728,-0.9891,2001
6,0.117,0.241,0.642,-0.9927,2001
7,0.343,0.137,0.519,0.9744,2001
8,0.136,0.319,0.546,-0.9847,2001
9,0.218,0.052,0.73,0.9942,2001
10,0.19,0.09,0.72,0.9789,2001
11,0.103,0.124,0.773,-0.4186,2001
12,0.136,0.371,0.493,-0.9882,2001
13,0.215,0.074,0.712,0.9721,2001
14,0.103,0.095,0.802,0.2534,2001
15,0.239,0.065,0.696,0.9941,2001
16,0.37,0.034,0.596,0.998,2001
17,0.138,0.123,0.74,-0.8099,2001
18,0.314,0.173,0.513,0.9698,2001
19,0.165,0.078,0.757,0.9812,2001
20,0.037,0.346,0.617,-0.9872,2001
21,0.032,0.204,0.764,-0.9936,2001
22,0.22,0.183,0.597,0.9619,2001
23,0.177,0.203,0.62,-0.9383,2001
24,0.225,0.114,0.661,0.9937,2001
25,0.514,0.02,0.466,0.9991,2001
26,0.429,0.005,0.566,0.9989,2001
27,0.213,0.166,0.622,0.9802,2001
28,0.138,0.31,0.552,-0.9962,2001
29,0.202,0.092,0.706,0.9844,2001
30,0.363,0.086,0.551,0.9952,2001
31,0.25,0.075,0.675,0.9612,2001
32,0.321,0.125,0.555,0.981,2001
33,0.05,0.301,0.648,-0.9989,2001
34,0.149,0.026,0.825,0.9843,2001
35,0.384,0.129,0.487,0.9992,2001
36,0.275,0.169,0.556,0.9618,2001
37,0.034,0.047,0.919,-0.3009,2001
38,0.145,0.163,0.692,0.3968,2001
39,0.309,0.036,0.655,0.9975,2001
40,0.279,0.131,0.59,0.9905,2001
41,0.256,0.199,0.545,0.7783,2001
42,0.27,0.11,0.619,0.9967,2001
43,0.147,0.03,0.824,0.9732,2001
44,0.416,0.111,0.473,0.9975,2001
45,0.276,0.09,0.634,0.9829,2001
46,0.429,0.051,0.52,0.9995,2001
47,0.395,0.079,0.526,0.9931,2001
48,0.131,0.174,0.695,-0.9453,2001
49,0.376,0.078,0.546,0.9981,2001
50,0.061,0.165,0.773,-0.7776,2001
51,0.174,0.376,0.45,-0.9924,2001
52,0.233,0.202,0.564,0.8141,2001
53,0.168,0.105,0.727,0.5106,2001
54,0.122,0.255,0.624,-0.9961,2001
55,0.282,0.074,0.644,0.9552,2001
56,0.054,0.116,0.83,-0.9231,2001
57,0.079,0.162,0.759,-0.8707,2001
58,0.36,0.068,0.572,0.9966,2001
59,0.304,0.054,0.642,0.9878,2001
60,0.172,0.257,0.572,-0.9834,2001
61,0.173,0.342,0.485,-0.9807,2001
62,0.256,0.151,0.593,0.9118,2001
63,0.409,0.188,0.402,0.9967,2001
64,0.198,0.152,0.65,0.9219,2001
65,0.236,0.068,0.697,0.9862,2001
66,0.168,0.081,0.75,0.9716,2001
67,0.339,0.062,0.6,0.9946,2001
68,0.4,0.018,0.582,0.9981,2001
69,0.227,0.123,0.65,0.9598,2001
70,0.184,0.015,0.8,0.994,2001
71,0.29,0.07,0.64,0.9884,2001
72,0.191,0.05,0.759,0.9785,2001
73,0.144,0.171,0.685,-0.9136,2001
74,0.164,0.19,0.646,-0.7003,2001
75,0.209,0.3,0.491,-0.9932,2001
76,0.318,0.114,0.568,0.9985,2001
77,0.13,0.154,0.716,-0.6844,2001
78,0.208,0.156,0.636,0.9048,2001
79,0.334,0.092,0.574,0.9971,2001
80,0.128,0.386,0.486,-0.9963,2001
81,0.281,0.0,0.719,0.9897,2001
82,0.259,0.055,0.686,0.9501,2001
83,0.306,0.147,0.546,0.9976,2001
84,0.259,0.109,0.633,0.9881,2001
85,0.065,0.188,0.747,-0.9942,2001
86,0.154,0.209,0.637,-0.6219,2001
87,0.358,0.117,0.525,0.9906,2001
88,0.254,0.084,0.662,0.9915,2001
89,0.239,0.076,0.685,0.9896,2001
90,0.591,0.035,0.373,0.9998,2001
91,0.079,0.133,0.787,-0.981,2001
92,0.29,0.035,0.675,0.9893,2001
93,0.132,0.156,0.713,-0.9503,2001
94,0.098,0.163,0.739,-0.9954,2001
95,0.364,0.207,0.429,0.9744,2001
96,0.288,0.249,0.463,0.9559,2001
97,0.176,0.308,0.516,-0.9792,2002
98,0.174,0.124,0.702,0.9394,2002
99,0.169,0.053,0.778,0.989,2002
100,0.174,0.097,0.729,0.9631,2002
101,0.134,0.242,0.624,-0.9169,2002
102,0.06,0.079,0.861,-0.4215,2002
103,0.125,0.149,0.726,-0.6249,2002
104,0.401,0.077,0.522,0.9994,2002
105,0.17,0.278,0.552,-0.9857,2002
106,0.089,0.237,0.673,-0.9843,2002
107,0.275,0.142,0.583,0.9871,2002
108,0.184,0.145,0.67,0.9241,2002
109,0.407,0.1,0.493,0.9985,2002
110,0.203,0.072,0.726,0.9136,2002
111,0.195,0.047,0.758,0.9968,2002
112,0.363,0.054,0.584,0.9974,2002
113,0.202,0.092,0.706,0.9844,2002
114,0.195,0.047,0.758,0.9968,2002
115,0.14,0.073,0.787,0.9569,2002
116,0.361,0.13,0.509,0.9825,2002
117,0.116,0.229,0.655,-0.9959,2002
118,0.364,0.207,0.429,0.9744,2002
119,0.295,0.1,0.605,0.9509,2002
120,0.389,0.047,0.563,0.9955,2002
121,0.357,0.1,0.543,0.9919,2002
122,0.083,0.29,0.628,-0.986,2002
123,0.142,0.061,0.798,0.9335,2002
124,0.184,0.11,0.705,0.9583,2002
125,0.166,0.097,0.738,0.9636,2002
126,0.074,0.176,0.75,-0.9888,2002
127,0.252,0.144,0.604,0.9517,2002
128,0.106,0.054,0.841,0.9451,2002
129,0.317,0.097,0.586,0.9954,2002
130,0.336,0.012,0.652,0.999,2002
131,0.055,0.156,0.789,-0.9531,2002
132,0.092,0.472,0.437,-0.9974,2002
133,0.125,0.093,0.782,0.8225,2002
134,0.168,0.067,0.766,0.9531,2002
135,0.416,0.048,0.537,0.9962,2002
136,0.165,0.151,0.683,0.6856,2002
137,0.495,0.042,0.463,0.9988,2002
138,0.253,0.065,0.682,0.9874,2002
139,0.285,0.193,0.522,0.9838,2002
140,0.254,0.185,0.561,0.9065,2002
141,0.081,0.043,0.875,0.6249,2002
142,0.321,0.115,0.564,0.981,2002
143,0.127,0.281,0.591,-0.9974,2002
144,0.344,0.129,0.526,0.9885,2002
145,0.115,0.07,0.814,0.9777,2002
146,0.144,0.024,0.832,0.986,2002
147,0.228,0.095,0.677,0.9842,2002
148,0.334,0.031,0.635,0.998,2002
149,0.212,0.076,0.712,0.9911,2002
150,0.131,0.073,0.796,0.9795,2002
151,0.067,0.426,0.508,-0.9997,2002
152,0.294,0.093,0.613,0.9853,2002
153,0.189,0.279,0.532,0.4218,2002
154,0.408,0.228,0.364,0.9925,2002
155,0.305,0.0,0.695,0.9897,2002
156,0.357,0.031,0.613,0.9973,2002
157,0.27,0.084,0.646,0.9902,2002
158,0.049,0.243,0.708,-0.9994,2002
159,0.215,0.135,0.65,0.9904,2002
160,0.357,0.0,0.643,0.9961,2002
161,0.236,0.09,0.674,0.9766,2002
162,0.234,0.066,0.7,0.9776,2002
163,0.277,0.11,0.613,0.9969,2002
164,0.429,0.051,0.52,0.9995,2002
165,0.221,0.101,0.678,0.9931,2002
166,0.192,0.133,0.674,0.9845,2002
167,0.452,0.065,0.483,0.998,2002
168,0.212,0.105,0.683,0.9828,2002
169,0.343,0.137,0.52,0.9984,2002
170,0.039,0.062,0.899,-0.8807,2002
171,0.224,0.109,0.667,0.9801,2002
172,0.209,0.3,0.491,-0.9932,2002
173,0.203,0.176,0.621,0.4506,2002
174,0.199,0.458,0.342,-0.9991,2002
175,0.056,0.153,0.791,-0.9042,2002
176,0.229,0.103,0.668,0.9938,2002
177,0.245,0.07,0.685,0.9896,2002
