,pos,neg,neu,comp,tag
0,0.083,0.404,0.513,-0.9729,2001
1,0.08,0.16,0.76,-0.7096,2001
2,0.156,0.131,0.713,0.2732,2001
3,0.083,0.239,0.678,-0.743,2001
4,0.186,0.328,0.485,-0.8957,2001
5,0.0,0.0,1.0,0.0,2001
6,0.232,0.128,0.64,0.34,2001
7,0.051,0.167,0.781,-0.6369,2001
8,0.0,0.199,0.801,-0.802,2001
9,0.2,0.0,0.8,0.8412,2001
10,0.204,0.181,0.615,0.3182,2001
11,0.413,0.077,0.51,0.9571,2001
12,0.269,0.0,0.731,0.886,2001
13,0.134,0.221,0.645,-0.5423,2001
14,0.372,0.108,0.521,0.9136,2001
15,0.179,0.063,0.758,0.5574,2001
16,0.108,0.081,0.811,-0.0258,2001
17,0.298,0.0,0.702,0.9246,2001
18,0.036,0.052,0.912,-0.1531,2001
19,0.18,0.0,0.82,0.6908,2001
20,0.057,0.329,0.614,-0.9559,2001
21,0.142,0.148,0.71,-0.0772,2001
22,0.0,0.143,0.857,-0.6124,2001
23,0.198,0.073,0.729,0.4767,2001
24,0.084,0.29,0.627,-0.7845,2001
25,0.105,0.068,0.828,0.4019,2001
26,0.098,0.2,0.703,-0.6705,2001
27,0.064,0.415,0.521,-0.9783,2001
28,0.091,0.0,0.909,0.4215,2001
29,0.175,0.318,0.507,-0.9287,2001
30,0.254,0.154,0.592,0.7096,2001
31,0.105,0.121,0.775,-0.2263,2001
32,0.0,0.0,1.0,0.0,2001
33,0.172,0.0,0.828,0.8271,2001
34,0.0,0.354,0.646,-0.9601,2001
35,0.049,0.289,0.662,-0.93,2001
36,0.055,0.26,0.685,-0.8885,2001
37,0.14,0.071,0.788,0.4215,2001
38,0.103,0.308,0.589,-0.903,2001
39,0.0,0.316,0.684,-0.9001,2001
40,0.064,0.294,0.642,-0.8834,2001
41,0.085,0.189,0.726,-0.3182,2001
42,0.066,0.473,0.46,-0.9895,2001
43,0.071,0.0,0.929,0.4404,2001
44,0.0,0.396,0.604,-0.8957,2001
45,0.0,0.181,0.819,-0.743,2001
46,0.18,0.0,0.82,0.5267,2001
47,0.214,0.114,0.672,0.6705,2001
48,0.143,0.0,0.857,0.7717,2001
49,0.136,0.181,0.682,-0.3612,2001
