News_id,Year,Title,Abstract
5158739,2001,long battle seen,focuses declaration war made united states president george w bush response terrorist attacks world trade center pentagon occurred september statement us military prepare long war terrorism forceful language bushs remarks reflected national mood support congress nations campaign terrorism mention osama bin laden prime suspect
5210808,2001,pilots ask permission carry guns,reports air line pilots association largest pilots union united states propose cockpit crews permitted carry handguns order prevent hijacking aircraft response federal aviation administration impact september terrorist attack four us commercial planes hijacked outlook proposal presented us house representatives subcommittee hearing
5491991,2001,grief echoes new york santo domingo,focuses response dominicans americans crash american airlines flight en route new york city dominican republic people plane visit family expressions grief dominican capital santo domingo new yorks dominican neighborhoods efforts friends relatives find loved ones flight
4056314,2001,exaide bin laden describes terror campaign aimed us,discusses testimony jamal ahmed alfadl secret witness trial concerning conspiracy led terrorist osama bin laden united states relationship bin laden experiences working details bin ladens camp
5240343,2001,new push get bin laden agree quit afghanistan,reports taliban government afghanistan announced sent courier deliver request terrorist osama bin laden leave country efforts pakistan convince afghanistan dispel terrorist organization previous efforts convince taliban bin ladens guilt terrorist attacks united states desire taliban leaders request endorsed organization islamic conference
4455222,2001,genome analysis shows humans survive low number genes,reports two rival teams scientist presenting first interpretations human genome set dnaencoded instructions specify person completion parts list proteins needed make person celera genomics publiclyfunded consortium academic centers traced history junk regions genome accumulated interpretation genome expected revolutionize medicine clarifying mechanisms many diseases
5171482,2001,arafat orders ceasefire israel pulls back,reports palestinian leader yasir arafat instructed security forces hold fire israel promised refrain offensive action withdrawal israeli tanks troops palestiniancontrolled territory implications withdrawal offer arafat help antiterror effort response israeli prime minister ariel sharon
4717885,2001,teachers leader yielding mayors school rule,reports new york citys teachers union abandoning opposition mayoral control citys public education change comes union seeks sizable pay increase mayor rudolph giuliani rejection mayor offer would give majority appointees expanded board education question union changed position mayoral control
4448489,2001,bleak statistics tarnish nevadas glitter,examines nevada ranks near bottom states indexes measure social wellbeing suicide rate almost twice national average statistics smoking teenage pregnancy reliance state gaming industry speculation underlying causes nevadas many social problems
3944990,2001,bush reaffirms confidence labor choice,reports united states presidentelect george w bushs defense choice labor secretary linda chavez despite disclosures illegal immigrant lived home work details employment marta mercado chavez chavez opened home mercado charity definition employee according federal regulations opposition chavez nomination american federation labor congress industrial organizations aflcio
4269765,2001,serb authorities arrest milosevic end standoff,reports former yugoslav president slobodan milosevic barricaded house belgrade successfully resisting two police raids arrest gunfights milosevics guards supporters serbian special police assertion interior minister dusan mihajlovic milosevic house arrest warcrimes charges milosevic faces united nations criminal tribunal hague netherlands corruption allegations milosevic
4917414,2001,gop trying counter erosion womens support,reports efforts republican national committee united states attract women republican party details campaing winning women led committees new cochairwoman ann wagner results survey shows lack support women party due tax cuts environmental decisions assertion issues like education health care important women
4046951,2001,successes reality tv put networks survivor mode,discusses success realitybased television program survivor australian outback high ratings show cbs caused nbc restructure thursday night programming expectation reality programs may play dominant part television future description reality programs showing united states analysis ratings
4123486,2001,millions eligible food stamps applying,reports february many americans eligible food stamps apply numbers americans estimated united states dept agriculture eligible food stamps receiving fear states penalized errors benefits calculations statement employment enough raise people poverty
4404052,2001,us scientists see big power savings conservation,reports study scientists united states indicates country could drastically reduce energy consumption government encouraged energy conservation study contradicts assertions administration president george w bush way deal energy shortages build power resources skepticism us energy departments energy information agency regarding projected efficiency gains
