Rank,Song,Artist,Year,Lyrics
1,hanging moment,lifehouse,2001,im desperate changing starving truth im closer started chasing youim falling even love letting go ive held onto im standing make move im hanging moment youforgetting im lacking completely incomplete ill take invitation take menow im falling even love letting go ive held onto im standing make move im hanging moment youim livin thing know im running im quite sure go know id like tune hanging moment youtheres nothing else lose theres nothing left fly nothing world change mind nothing else nothing else nothing elseim desperate changing starving truth im closer started im chasing youim falling even love letting go ive held onto im standing make move im hanging moment youim livin thing know im running im quite sure go know id like tune hanging moment youjust hanging moment hanging moment hanging moment hanging moment
2,fallin,alicia keys,2001,keep fallin love sometimes love ya sometimes make blue sometimes feel good times feel used lovin darlin makes confusedi keep fallin love never loved someone way love youoh never felt way give much pleasure cause much pain think ive taken would fool start fallin back love youi keep fallin love never loved someone way love youoh baby im fallin im fallin falli keep fallin love never loved someone way love youim fallin love never loved someone way love youim fallin love never loved someone way love youwhat
3,,janet,2001,girls party look body shakin thing like never see got nice package alright cause im gonna ride tonight girls party look body shakin thing like never see got nice package alright edit four three two one really want say need gotta make move see staring corner eye seem uneasy want approach throw line somethin inside grabs says know exactly cause happens guys gonna come talk promise even attitude ill let sit right next join list fools aint way yes cool yes im mood intimidations got mind really want say need gotta make move tell one soon well fun come get make move cant afraid keep waiting long know ill outta ill gone try clever cute even sly work hard let guide gonna come talk promise even attitude ill even let sit right next join list fools aint way yes cool yes im mood intimidations every time really want say need gotta make move tell one soon well fun come get make move girls party look body shakin thing like never see got nice package alright cause im gonna ride tonight girls party look body shakin thing like never see got nice package alright cause im gonna ride tonight really want say need gotta make move girls party look body shakin thing like never see got nice package alright cause im gonna ride tonight girls party look body shakin thing like never see got nice package alright cause im gonna ride tonight tell one soon fun come get soon well fun soon fun soon well fun soon fun soon fun soon fun soon well fun soon fun soon well fun soon fun soon well fun soon fun soon well fun soon fun soon well fun cause im gonna ride cause im gonna ride tonight cause im gonna ride cause im gonna ride cause im gonna ride tonight cause im gonna ride
4,drops jupiter tell,train,2001,back atmosphere drops jupiter hair hey acts like summer walks like rain reminds theres time change hey since return stay moon listens like spring talks like june hey heybut tell sail across sun make milky way see lights faded heaven overratedtell fall shooting star one without permanent scar missed looking therenow back soul vacation tracing way constellation hey checks mozart taebo reminds theres room grow heynow back atmosphere im afraid might think plain ol jane told story man afraid fly never landbut tell wind sweep feet finally get chance dance along light day head back milky wayand tell venus blow mind everything wanted find missed looking therecan imagine love pride deepfried chicken best friend always sticking even know wrongcan imagine first dance freezedried romance fivehour phone conversation best soy latte ever mebut tell wind sweep feet finally get chance dance along light day head back toward milky waybut tell sail across sun make milky way see lights faded heaven overratedand tell fall shooting star one without permanent scar missed looking yourselfand finally get chance dance along light day fall shooting star fall shooting star lonely looking
5,im real,jennifer lopez featuring ja rule,2001,called phone said im comin hope alone cause got plans youwe could stay home dance hang night long im matter dodont ask ive im gonna know im try understand baby theres mystery cause know amim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitchyou like way dress way wear hair show friends baby care long tell tell im one made give damndont ask ive im gonna know im try understand baby theres mystery cause know amim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitchim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitchim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitchim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitchdont ask ive im gonna know im try understand baby theres mystery cause know amim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitchim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitchim real get see tryin want say mine time falling love cant get enough tellin friends bad bad bitch
6,gone,matchbox twenty,2001,think ive already lost think already gone think im finally scared think im weak think wrong think already leaving feels like hand door thought place empire im relaxed cant sureand think mean think try think could need life think im scared think much know wrong problem im dealingif gone maybe time come home theres awful lot breathing room hardly move gone baby need come home come home theres little bit something everything youi bet hard get bet room shine bet hands stay bet need mindand think mean think try think could need life think im scared know much cant relate thats problem im feelingif gone maybe time come home theres awful lot breathing room hardly move gone baby need come home come home theres little bit something everything youi think mean think try think could need life think im scared talk much know wrong problem im dealingif gone maybe time come home theres awful lot breathing room hardly move gone hell baby need come home come home theres little bit something everything something everything something
7,let blow ya mind,eve featuring gwen stefani,2001,uh uh uh huh yo yodrop glasses shake asses face screwed like hot flashes one pick one one classic red blonde yeah bitch im drastic lips stop askin listen baby relax start passin expressway hair back weavin traffic one strong labeled hazard yall niggas hot sike im gassin clowns spot em cant stop laughin easy come easy go ev gon lastin jealousy let go results could tragic yall aint writin well concerned fashion none aint gizell cat walk imagine alotta yall hollywood drama passed cut bitch camera real shit blast itand give year got foot door aint goin nowhere took awhile get im gonna take time fight good shit ear let blow ya mindthey wanna bank crank makes dizzy shank haters wanna come aint ganster prankster much eat snakes path wanna smile grittin teeth frustration baby gotta breathe take alot get rid see cant aint stress comes stage get see meet lab pen pad believe huh sixteens mine create lines love wordplay thats hard find sophomore aint scared one kind contemplate ways make fans mine eyes bloodshot stressin chills spine huh sick stomach wishin wrote linesand give year got foot door aint goin nowhere took awhile get im gonna take time fight good shit ear let blow ya mindlet bones crack back pop cant stop excitement glock shots stash box fuck thugged respect cash route locked blastin sets mash yeah nigga mash dre back track think back eve like ooooh got know trance first glance floor believe ill show take turn pension gone give relief put trust bomb listen dancin much get im complete uh huh still stallion brick house pile ryde die bitch double r cant crawl beware cause crush anything land aint mistake nigga planned onand give year got foot door aint goin nowhere took awhile get im gonna take time fight good shit ear let blow ya mind
8,thank,dido,2001,teas gone cold im wondering got bed morning rain clouds window cant see even could itd grey picture wall reminds bad badi drank much last night got bills pay head feels pain missed bus therell hell today im late work even im theyll imply might last day call bad badand want thank giving best day life best day lifeoh ohpush door im home last im soaking handed towel see even house falls clue near meand want thank giving best day life best day lifeand want thank giving best day life best day life
9,,lenny kravitz,2001,ive searching heard cry within soul ive never yearning quite like know walking right doorall life wonder ill ever see day comes know could win wonder ill ever see againa sacred gift heaven better worse wherever would never let somebody break cried neverall life wonder ill ever see day comes know could win wonder ill ever see againat every time ive always known upon throne lonely queen without king longed love foreverall life wonder ill ever see day comes know could win wonder ill ever see againall life wonder ill ever see day comes know could win wonder ill ever see againall life wonder ill ever see day comes know could win wonder ill ever see againi wonder ill ever see wonder ill ever see wonder ill ever see wonder ill ever see wonder ill ever see wonder ill ever see wonder ill ever see
10,independent women,destinys child,2001,lucy liu girl drew cameron destiny charlies angels come onquestion tell think buy diamonds buy rings ring celly im feelin lonely please get leavequestion tell feel try control boy get dismissed pay fun pay bills always relationshipsthe shoe feet ive bought clothes im wearing ive bought rock im rockin ive bought cause depend meif wanted watch wearin ill buy house live ive bought car im driving ive bought depend depend meall women independent throw hands honeys makin money throw hands meall mommas profit dollas throw hands ladies truly feel throw hands megirl know could get like charlie angels get like girl know could get like charlie angels get like thattell feel would want would wanna live worked hard sacrificed get get ladies aint easy bein independentquestion howd like knowledge brought braggin cash gave front gonna brag make sure money flaunt depend one else give wantthe shoe feet ive bought clothes im wearing ive bought rock im rockin ive bought cause depend meif wanted watch wearin ill buy house live ive bought car im driving ive bought depend depend meall women independent throw hands honeys makin money throw hands meall mommas profit dollas throw hands ladies truly feel throw hands megirl know could get like charlie angels get like girl know could get like charlie angels get like thatdestinys child wassup house sure nuff well break people angel stylechild destiny independent beauty one else scare charlies angelsall women independent throw hands honeys makin money throw hands meall mommas profit dollas throw hands ladies truly feel throw hands megirl know could get like charlie angels get like girl know could get like charlie angels get like thatgirl know could get like charlie angels get like girl know could get like
